SURVEY_ID,SURVEY_NM,DOMAIN_ID,INSTITUTION_ID,COLLECTION_GRADE,REGION_STAT,LABEL
797004,김해시청년통계,사회일반,경상남도 김해시,4,True,survey
791005,창원시청년통계,사회일반,경상남도 창원시,4,True,survey
706002,서천군노인복지통계,복지,충청남도 서천군,3,True,survey
705002,당진시여성통계,복지,충청남도 당진시,4,True,survey
329004,전자문서산업실태조사,정보통신,한국인터넷진흥원,1,False,survey
206013,대전광역시청년통계,사회일반,대전광역시,4,True,survey
210010,경기도영유아통계,보건,경기도,4,True,survey
450001,청소년방과후활동수요및현황조사,문화.여가,한국청소년활동진흥원,1,False,survey
118045,일가정양립실태조사,기업경영,고용노동부,1,False,survey
101087,생애단계별행정통계,사회일반,통계청,4,False,survey
651005,춘천시경제실태조사(서비스업부문),경제일반·경기,강원특별자치도 춘천시,3,True,survey
113023,근로자휴가조사,문화.여가,문화체육관광부,1,False,survey
216012,경상북도청년통계,사회일반,경상북도,4,True,survey
638003,연천군노인등록통계,복지,경기도 연천군,3,True,survey
634003,양주시노인등록통계,복지,경기도 양주시,4,True,survey
633004,김포시노인등록통계,복지,경기도 김포시,4,True,survey
629004,용인시노인등록통계,복지,경기도 용인시,4,True,survey
627003,의왕시노인등록통계,복지,경기도 의왕시,4,True,survey
622003,구리시노인등록통계,복지,경기도 구리시,3,True,survey
620005,고양시노인등록통계,복지,경기도 고양시,4,True,survey
619003,안산시노인등록통계,복지,경기도 안산시,4,True,survey
613003,의정부시노인등록통계,복지,경기도 의정부시,4,True,survey
804003,고성군평생학습실태조사,교육·훈련,경상남도 고성군,4,True,survey
734004,나주시여성통계,복지,전라남도 나주시,3,True,survey
127014,스마트미디어산업실태조사,정보통신,과학기술정보통신부,2,False,survey
438001,장애인삶패널조사,복지,한국장애인개발원,1,False,survey
202018,부산광역시복지실태조사,복지,부산광역시,3,True,survey
735005,광양시청년통계,사회일반,전라남도 광양시,3,True,survey
440001,예금보험통계,금융,예금보험공사,4,False,survey
127013,정보보호산업실태조사,정보통신,과학기술정보통신부,2,False,survey
117101,산후조리실태조사,보건,보건복지부,2,False,survey
101086,가계생산위성계정,국민계정,통계청,4,False,survey
408003,건물에너지사용량,에너지,한국부동산원,4,False,survey
448001,디자이너등급별노임단가실태조사,임금,(사)한국디자인산업연합회,1,False,survey
723002,고창군청년통계,사회일반,전북특별자치도 고창군,4,True,survey
