INSTITUTION_ID,INSTITUTION_NM,TYPE,LABEL
INST_0309,충청북도 단양군,지방자치단체,institution
INST_0310,충청북도 보은군,지방자치단체,institution
INST_0311,충청북도 영동군,지방자치단체,institution
INST_0312,충청북도 옥천군,지방자치단체,institution
INST_0313,충청북도 음성군,지방자치단체,institution
INST_0314,충청북도 제천시,지방자치단체,institution
INST_0315,충청북도 증평군,지방자치단체,institution
INST_0316,충청북도 진천군,지방자치단체,institution
INST_0317,충청북도 청주시,지방자치단체,institution
INST_0318,충청북도 충주시,지방자치단체,institution
INST_0319,통계청,중앙행정기관,institution
INST_0320,통일부,중앙행정기관,institution
INST_0321,특허청,중앙행정기관,institution
INST_0322,한국가스안전공사,공사/공단,institution
INST_0323,한국거래소,금융기관,institution
INST_0324,한국건설기술연구원,연구기관,institution
INST_0325,한국건설엔지니어링협회,협회/조합,institution
INST_0326,한국고용정보원,기타기관,institution
INST_0327,한국공간정보산업협회,협회/조합,institution
INST_0328,한국공정거래조정원,기타기관,institution
INST_0329,한국공항공사,공사/공단,institution
INST_0330,한국과학기술연구원,연구기관,institution
INST_0331,한국관광공사,공사/공단,institution
INST_0332,한국광해광업공단,공사/공단,institution
INST_0333,한국교육개발원,연구기관,institution
INST_0334,한국교통안전공단,공사/공단,institution
INST_0335,한국교통연구원,연구기관,institution
INST_0336,한국국토정보공사,공사/공단,institution
INST_0337,한국금융투자협회,협회/조합,institution
INST_0338,한국기계산업진흥회,협회/조합,institution
INST_0339,한국기상산업기술원,기타기관,institution
INST_0340,한국노동연구원,연구기관,institution
INST_0341,한국노인인력개발원,기타기관,institution
INST_0342,한국농어촌공사,공사/공단,institution
INST_0343,한국도로공사,공사/공단,institution
INST_0344,한국로봇산업협회,협회/조합,institution
INST_0345,한국무역보험공사,공사/공단,institution
INST_0346,한국무역협회,협회/조합,institution
INST_0347,한국문화관광연구원,연구기관,institution
INST_0348,한국문화예술위원회,기타기관,institution
INST_0349,한국방송광고진흥공사,공사/공단,institution
INST_0350,한국방위산업진흥회,기타기관,institution
INST_0351,한국법제연구원,연구기관,institution
INST_0352,한국보건사회연구원,연구기관,institution
INST_0353,한국보건산업진흥원,연구기관,institution
INST_0354,한국부동산원,기타기관,institution
INST_0355,한국사학진흥재단,기타기관,institution
INST_0356,한국사회보장정보원,기타기관,institution
INST_0357,한국산업단지공단,공사/공단,institution
INST_0358,한국산업안전보건공단,공사/공단,institution
INST_0359,한국산업은행,금융기관,institution
INST_0360,한국산업인력공단,공사/공단,institution
INST_0361,한국생명공학연구원,연구기관,institution
INST_0362,한국생산성본부,기타기관,institution
INST_0363,한국석유공사,공사/공단,institution
INST_0364,한국세라믹기술원,연구기관,institution
INST_0365,한국소프트웨어산업협회,협회/조합,institution
INST_0366,한국수산자원공단,공사/공단,institution
INST_0367,한국언론진흥재단,기타기관,institution
INST_0368,한국에너지공단,공사/공단,institution
INST_0369,한국에너지기술평가원,기타기관,institution
INST_0370,한국엔지니어링협회,협회/조합,institution
INST_0371,한국여성정책연구원,연구기관,institution
INST_0372,한국예탁결제원,금융기관,institution
INST_0373,한국은행,금융기관,institution
INST_0374,한국인터넷진흥원,기타기관,institution
INST_0375,한국자산관리공사,공사/공단,institution
INST_0376,한국장애인개발원,연구기관,institution
INST_0377,한국장애인고용공단,공사/공단,institution
INST_0378,한국저작권위원회,기타기관,institution
INST_0379,한국전기공사협회,협회/조합,institution
INST_0380,한국전기산업연구원,연구기관,institution
INST_0381,한국전기안전공사,공사/공단,institution
INST_0382,한국전력거래소,기타기관,institution
INST_0383,한국전력공사,공사/공단,institution
INST_0384,한국전시산업진흥회,협회/조합,institution
INST_0385,한국조세재정연구원,연구기관,institution
INST_0386,한국주택금융공사,공사/공단,institution
INST_0387,한국지방재정공제회,협회/조합,institution
INST_0388,한국지질자원연구원,연구기관,institution
INST_0389,한국직업능력연구원,연구기관,institution
INST_0390,한국철강협회,협회/조합,institution
INST_0391,한국철도공사,공사/공단,institution
INST_0392,한국청소년정책연구원,연구기관,institution
INST_0393,한국청소년활동진흥원,연구기관,institution
INST_0394,한국한의학연구원,연구기관,institution
INST_0395,한국행정연구원,연구기관,institution
INST_0396,한국형사·법무정책연구원,연구기관,institution
INST_0397,한국환경공단,공사/공단,institution
INST_0398,한국환경산업기술원,연구기관,institution
INST_0399,해양경찰청,중앙행정기관,institution
INST_0400,해양수산부,중앙행정기관,institution
INST_0401,해외건설협회,협회/조합,institution
INST_0402,행정안전부,중앙행정기관,institution
INST_0403,환경부,중앙행정기관,institution
