통계표ID,통계표명,승인번호,기관코드,주기,시작연도,마지막연도,지역,연령대,대상,구분
DT_1BAOO12,시도/성/교육정도/산업(대분류)별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"시도별,성별,교육정도별,산업별"
DT_1BAOO13,시도/성/교육정도/직업(대분류)별 취업자(15세 이상),101001,101,5년,2000,2000,,15세 이상,취업자,"시도별,성별,교육정도별,직업별"
DT_1BAOO14,시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),101001,101,5년,2000,2000,,,"가구,취업자수","시도별,거처의종류별,가구의규모별"
DT_1BAOO15,시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),101001,101,5년,2000,2000,,,가구,"시도별,가구주성별,종사상의지위별,거처종류별"
DT_1BAOO16,시도/세대구성/가구주의 직업(대분류)별 가구(일반가구),101001,101,5년,2000,2000,,,가구,"시도별,세대구성별,가구주의직업별"
DT_1BAOO17,시도/세대구성/경제활동상태별 여성인구(15세 이상),101001,101,5년,2000,2000,,15세 이상,여성인구,"시도별,세대구성별,경제활동상태별"
DT_1BAOO18,시도/가구주 부부의 경제활동상태 및 산업(대분류)별 가구(일반가구),101001,101,5년,2000,2000,,,가구,"행정구역별,가구주부부경제활동상태별,산업별"
DT_1BAOO19,시도/가구주 부부의 경제활동상태 및 직업(대분류)별 가구(일반가구),101001,101,5년,2000,2000,,,가구,"행정구역별,경제활동상태별,직업별"
DT_1BAOO20,시도/성/경제활동상태/전공분야별 인구(15세 이상),101001,101,5년,2000,2000,,15세 이상,인구,"시도별,성별,경제활동상태별,전공분야별"
DT_1BAOO21,시도/성/산업(대분류)/전공분야별 인구(15세이상),101001,101,5년,2000,2000,,15세이상,인구,"시도별,성별,산업별,전공분야별"
DT_1BAOO22,시도/성/직업(대분류)/전공분야별 인구(15세이상),101001,101,5년,2000,2000,,15세이상,인구,"행정구역별,성별,직업별,전공분야별"
DT_1BAOO23,시도/성/산업(대분류)/근무년수별 취업자,101001,101,5년,2000,2000,,,취업자,"시도별,성별,산업별,근무년수별"
DT_1BAOO24,시도/성/직업(대분류)/근무년수별 취업자,101001,101,5년,2000,2000,,,취업자,"시도별,성별,직업별,근무년수별"
DT_1BC0501,산업(소분류)/성/행정구역별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,행정구역별
DT_1BC0502,직업(소분류)/성/행정구역별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,행정구역별
DT_1BC0503,성/산업(중분류)/직업(중분류)별 취업자(15세이상)-전국,101001,101,5년,2005,2005,,15세이상,취업자,"성별,산업별,직업별"
DT_1BC0504,성/산업(중분류)/연령별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,산업별,연령별,시도별"
DT_1BC0505,성/직업(중분류)/연령별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,직업별,연령별,시도별"
DT_1BC0506,산업(중분류)/성/종사상의 지위별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"지위별,시도별"
DT_1BC0507,직업(중분류)/성/종사상의 지위별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"직업별,성별,종사상지위별,시도별"
DT_1BC0508,성/산업(중분류)/근로장소별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,산업별,근로장소별,행정구역별"
DT_1BC0509,성/직업(중분류)/근로장소별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,직업별,근로장소별,시도별"
DT_1BC1601,미성년자가 있는 자녀수별 가구 - 시군구,101001,101,년,2016,2023,,,"자녀수,가구","행정구역별,자녀수별"
DT_1BC9501,시도/산업(소분류)/성별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,산업별,성별"
DT_1BC9502,시도/직업(소분류)/성별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,직업별,성별"
DT_1BC9503,시도/산업(중분류)/직업(중분류)/성별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,산업별,직업별,성별"
DT_1BC9504,시도/산업(중분류)/성/종사상의 지위별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,산업별,성별로"
DT_1BC9505,시도/직업(중분류)/성/종사상의 지위별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,직업별,성,별,종사상의지위별"
DT_1BC9506,시도/산업(중분류)/성/연령별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,산업별,성별,연령별"
DT_1BC9507,시도/직업(중분류)/성/연령별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,직업별,성별,연령별"
DT_1BC9508,시도/산업(중분류)/성/교육정도별 취업자,101001,101,5년,1995,1995,,,취업자,"시도별,산업별,성별,교육정도별"
