DOCUMENT_ID,SURVEY_ID,TYPE,LABEL
DOC_115035_1,115035,이용자용통계정보보고서,document
DOC_115035_2,115035,간행물,document
DOC_115035_3,115035,보도자료,document
DOC_115036_4,115036,통계설명메타,document
DOC_115037_4,115037,통계설명메타,document
DOC_115038_2,115038,간행물,document
DOC_116004_1,116004,이용자용통계정보보고서,document
DOC_116004_3,116004,보도자료,document
DOC_116005_1,116005,이용자용통계정보보고서,document
DOC_116005_3,116005,보도자료,document
DOC_116006_1,116006,이용자용통계정보보고서,document
DOC_116007_1,116007,이용자용통계정보보고서,document
DOC_116010_1,116010,이용자용통계정보보고서,document
DOC_116011_1,116011,이용자용통계정보보고서,document
DOC_116013_4,116013,통계설명메타,document
DOC_116015_3,116015,보도자료,document
DOC_116015_4,116015,통계설명메타,document
DOC_116025_1,116025,이용자용통계정보보고서,document
DOC_116026_1,116026,이용자용통계정보보고서,document
DOC_116026_3,116026,보도자료,document
DOC_116027_1,116027,이용자용통계정보보고서,document
DOC_116027_2,116027,간행물,document
DOC_116028_1,116028,이용자용통계정보보고서,document
DOC_116029_4,116029,통계설명메타,document
DOC_116031_1,116031,이용자용통계정보보고서,document
DOC_116031_3,116031,보도자료,document
DOC_116034_1,116034,이용자용통계정보보고서,document
DOC_116035_4,116035,통계설명메타,document
DOC_116036_1,116036,이용자용통계정보보고서,document
DOC_116040_4,116040,통계설명메타,document
DOC_116042_4,116042,통계설명메타,document
DOC_116048_1,116048,이용자용통계정보보고서,document
DOC_116048_3,116048,보도자료,document
DOC_116049_1,116049,이용자용통계정보보고서,document
DOC_116050_1,116050,이용자용통계정보보고서,document
DOC_116063_4,116063,통계설명메타,document
DOC_116068_1,116068,이용자용통계정보보고서,document
DOC_116068_3,116068,보도자료,document
DOC_116069_1,116069,이용자용통계정보보고서,document
DOC_116069_2,116069,간행물,document
DOC_116070_1,116070,이용자용통계정보보고서,document
DOC_116070_2,116070,간행물,document
DOC_116070_3,116070,보도자료,document
DOC_116072_1,116072,이용자용통계정보보고서,document
DOC_116072_2,116072,간행물,document
DOC_116073_1,116073,이용자용통계정보보고서,document
DOC_116073_2,116073,간행물,document
DOC_116073_3,116073,보도자료,document
DOC_116074_4,116074,통계설명메타,document
DOC_116075_1,116075,이용자용통계정보보고서,document
DOC_116075_2,116075,간행물,document
DOC_116075_3,116075,보도자료,document
DOC_116076_2,116076,간행물,document
DOC_116077_4,116077,통계설명메타,document
DOC_117002_1,117002,이용자용통계정보보고서,document
DOC_117002_3,117002,보도자료,document
DOC_117014_1,117014,이용자용통계정보보고서,document
DOC_117019_4,117019,통계설명메타,document
DOC_117030_1,117030,이용자용통계정보보고서,document
DOC_117032_1,117032,이용자용통계정보보고서,document
DOC_117032_2,117032,간행물,document
DOC_117032_3,117032,보도자료,document
DOC_117034_1,117034,이용자용통계정보보고서,document
DOC_117035_1,117035,이용자용통계정보보고서,document
DOC_117035_2,117035,간행물,document
DOC_117035_3,117035,보도자료,document
DOC_117036_1,117036,이용자용통계정보보고서,document
DOC_117036_3,117036,보도자료,document
DOC_117040_4,117040,통계설명메타,document
DOC_117043_4,117043,통계설명메타,document
DOC_117044_1,117044,이용자용통계정보보고서,document
DOC_117044_2,117044,간행물,document
DOC_117044_3,117044,보도자료,document
DOC_117049_1,117049,이용자용통계정보보고서,document
DOC_117049_3,117049,보도자료,document
DOC_117050_1,117050,이용자용통계정보보고서,document
DOC_117050_2,117050,간행물,document
DOC_117050_3,117050,보도자료,document
DOC_117051_1,117051,이용자용통계정보보고서,document
DOC_117051_2,117051,간행물,document
DOC_117052_1,117052,이용자용통계정보보고서,document
DOC_117052_3,117052,보도자료,document
DOC_117058_1,117058,이용자용통계정보보고서,document
DOC_117058_2,117058,간행물,document
DOC_117058_3,117058,보도자료,document
DOC_117060_1,117060,이용자용통계정보보고서,document
DOC_117060_2,117060,간행물,document
DOC_117060_3,117060,보도자료,document
DOC_117061_1,117061,이용자용통계정보보고서,document
DOC_117061_3,117061,보도자료,document
DOC_117064_1,117064,이용자용통계정보보고서,document
DOC_117064_3,117064,보도자료,document
DOC_117067_1,117067,이용자용통계정보보고서,document
DOC_117067_2,117067,간행물,document
DOC_117067_3,117067,보도자료,document
DOC_117068_1,117068,이용자용통계정보보고서,document
DOC_117068_2,117068,간행물,document
DOC_117070_4,117070,통계설명메타,document
DOC_117071_1,117071,이용자용통계정보보고서,document
DOC_117071_2,117071,간행물,document
DOC_117071_3,117071,보도자료,document
DOC_117072_1,117072,이용자용통계정보보고서,document
DOC_117074_1,117074,이용자용통계정보보고서,document
DOC_117074_2,117074,간행물,document
DOC_117075_1,117075,이용자용통계정보보고서,document
DOC_117075_2,117075,간행물,document
DOC_117075_3,117075,보도자료,document
DOC_117077_1,117077,이용자용통계정보보고서,document
DOC_117077_3,117077,보도자료,document
DOC_117078_1,117078,이용자용통계정보보고서,document
DOC_117078_2,117078,간행물,document
DOC_117078_3,117078,보도자료,document
DOC_117079_1,117079,이용자용통계정보보고서,document
DOC_117079_2,117079,간행물,document
DOC_117079_3,117079,보도자료,document
DOC_117081_1,117081,이용자용통계정보보고서,document
DOC_117082_1,117082,이용자용통계정보보고서,document
DOC_117082_2,117082,간행물,document
DOC_117082_3,117082,보도자료,document
DOC_117085_3,117085,보도자료,document
DOC_117085_4,117085,통계설명메타,document
DOC_117087_1,117087,이용자용통계정보보고서,document
DOC_117087_2,117087,간행물,document
DOC_117087_3,117087,보도자료,document
DOC_117088_1,117088,이용자용통계정보보고서,document
DOC_117088_3,117088,보도자료,document
DOC_117093_1,117093,이용자용통계정보보고서,document
DOC_117093_3,117093,보도자료,document
DOC_117094_1,117094,이용자용통계정보보고서,document
DOC_117094_3,117094,보도자료,document
DOC_117097_1,117097,이용자용통계정보보고서,document
DOC_117098_1,117098,이용자용통계정보보고서,document
DOC_117098_2,117098,간행물,document
DOC_117099_1,117099,이용자용통계정보보고서,document
DOC_117099_2,117099,간행물,document
DOC_117099_3,117099,보도자료,document
DOC_117100_3,117100,보도자료,document
DOC_117100_4,117100,통계설명메타,document
DOC_117101_1,117101,이용자용통계정보보고서,document
DOC_117101_3,117101,보도자료,document
DOC_117102_4,117102,통계설명메타,document
DOC_117103_1,117103,이용자용통계정보보고서,document
DOC_117104_1,117104,이용자용통계정보보고서,document
DOC_117105_2,117105,간행물,document
DOC_117105_3,117105,보도자료,document
DOC_117106_3,117106,보도자료,document
DOC_117106_4,117106,통계설명메타,document
DOC_117107_1,117107,이용자용통계정보보고서,document
DOC_117108_3,117108,보도자료,document
DOC_117108_4,117108,통계설명메타,document
DOC_117109_2,117109,간행물,document
DOC_117110_3,117110,보도자료,document
DOC_117110_4,117110,통계설명메타,document
DOC_117111_3,117111,보도자료,document
DOC_117111_4,117111,통계설명메타,document
DOC_118002_1,118002,이용자용통계정보보고서,document
DOC_118002_3,118002,보도자료,document
DOC_118005_1,118005,이용자용통계정보보고서,document
DOC_118005_3,118005,보도자료,document
DOC_118006_1,118006,이용자용통계정보보고서,document
DOC_118006_3,118006,보도자료,document
DOC_118008_1,118008,이용자용통계정보보고서,document
DOC_118008_3,118008,보도자료,document
DOC_118009_1,118009,이용자용통계정보보고서,document
DOC_118009_2,118009,간행물,document
DOC_118011_1,118011,이용자용통계정보보고서,document
DOC_118019_1,118019,이용자용통계정보보고서,document
DOC_118019_3,118019,보도자료,document
DOC_118020_1,118020,이용자용통계정보보고서,document
DOC_118020_2,118020,간행물,document
DOC_118020_3,118020,보도자료,document
DOC_118021_1,118021,이용자용통계정보보고서,document
DOC_118021_2,118021,간행물,document
DOC_118024_1,118024,이용자용통계정보보고서,document
DOC_118024_2,118024,간행물,document
DOC_118024_3,118024,보도자료,document
DOC_118026_1,118026,이용자용통계정보보고서,document
DOC_118027_1,118027,이용자용통계정보보고서,document
DOC_118030_1,118030,이용자용통계정보보고서,document
DOC_118030_3,118030,보도자료,document
DOC_118031_1,118031,이용자용통계정보보고서,document
DOC_118040_1,118040,이용자용통계정보보고서,document
DOC_118040_2,118040,간행물,document
DOC_118041_1,118041,이용자용통계정보보고서,document
DOC_118041_2,118041,간행물,document
DOC_118042_1,118042,이용자용통계정보보고서,document
DOC_118044_4,118044,통계설명메타,document
DOC_118045_1,118045,이용자용통계정보보고서,document
DOC_118045_2,118045,간행물,document
DOC_120002_4,120002,통계설명메타,document
DOC_120005_1,120005,이용자용통계정보보고서,document
DOC_120005_2,120005,간행물,document
DOC_120005_3,120005,보도자료,document
DOC_120007_1,120007,이용자용통계정보보고서,document
DOC_120007_2,120007,간행물,document
DOC_120008_1,120008,이용자용통계정보보고서,document
DOC_120008_2,120008,간행물,document
DOC_120008_3,120008,보도자료,document
DOC_120017_1,120017,이용자용통계정보보고서,document
DOC_120017_2,120017,간행물,document
DOC_120017_3,120017,보도자료,document
DOC_120019_1,120019,이용자용통계정보보고서,document
DOC_120019_2,120019,간행물,document
DOC_120019_3,120019,보도자료,document
DOC_120021_1,120021,이용자용통계정보보고서,document
DOC_120021_3,120021,보도자료,document
DOC_122009_4,122009,통계설명메타,document
DOC_123004_1,123004,이용자용통계정보보고서,document
DOC_123009_4,123009,통계설명메타,document
DOC_123010_4,123010,통계설명메타,document
DOC_123011_1,123011,이용자용통계정보보고서,document
DOC_123013_1,123013,이용자용통계정보보고서,document
DOC_123013_3,123013,보도자료,document
DOC_123016_1,123016,이용자용통계정보보고서,document
DOC_123018_4,123018,통계설명메타,document
DOC_123019_1,123019,이용자용통계정보보고서,document
DOC_123020_1,123020,이용자용통계정보보고서,document
DOC_123020_3,123020,보도자료,document
DOC_123021_1,123021,이용자용통계정보보고서,document
DOC_123022_1,123022,이용자용통계정보보고서,document
DOC_123022_3,123022,보도자료,document
DOC_123023_1,123023,이용자용통계정보보고서,document
DOC_123023_3,123023,보도자료,document
DOC_123029_4,123029,통계설명메타,document
DOC_123030_1,123030,이용자용통계정보보고서,document
DOC_123030_3,123030,보도자료,document
DOC_123032_1,123032,이용자용통계정보보고서,document
DOC_123034_4,123034,통계설명메타,document
DOC_127001_1,127001,이용자용통계정보보고서,document
DOC_127001_2,127001,간행물,document
DOC_127001_3,127001,보도자료,document
DOC_127002_1,127002,이용자용통계정보보고서,document
DOC_127002_2,127002,간행물,document
DOC_127003_4,127003,통계설명메타,document
DOC_127004_1,127004,이용자용통계정보보고서,document
DOC_127004_2,127004,간행물,document
DOC_127004_3,127004,보도자료,document
DOC_127005_1,127005,이용자용통계정보보고서,document
DOC_127005_2,127005,간행물,document
